Phase 3 CHARACTER variables and widths (source of truth for LENGTH blocks) -- Run:   26AUG2026:14:28:23
MASTER_DATA_7        ENCRYPTED_MRN                        36
MASTER_DATA_7        ENCRYPTED_ENCOUNTER                  44
MASTER_DATA_7        Day_of_Week__CHAR_                    3
MASTER_DATA_7        Holidays                              1
MASTER_DATA_7        Race                                 15
MASTER_DATA_7        Ethnicity                            15
MASTER_DATA_7        Sex                                   6
MASTER_DATA_7        Marital_Status                       22
MASTER_DATA_7        EmployeeStatus                       23
MASTER_DATA_7        Service                              32
MASTER_DATA_7        Room_Type                            22
MASTER_DATA_7        Emergent                              1
MASTER_DATA_7        Base_Procedure_1                    199
MASTER_DATA_7        CPT_1                                 6
MASTER_DATA_7        CPT_1_Description                    70
MASTER_DATA_7        CPT1_Label                           96
MASTER_DATA_7        Patient_Type                         18
MASTER_DATA_7        Payer                                12
MASTER_DATA_7        ICD10_Principal_Diagnosis             7
MASTER_DATA_7        ICD10_Principal_Diagnosis_POA         6
MASTER_DATA_7        Death                                 1
MASTER_DATA_7        SSDI_Death                            1
MASTER_DATA_7        Admit_Source                         28
MASTER_DATA_7        Anesthesia_Type                      33
MASTER_DATA_7        Dischg_Disposition                   38
MASTER_DATA_7        Intraop_Ketamine                      1
MASTER_DATA_7        Preop_block                           1
MASTER_DATA_7        Cognitive_Category                   22
MASTER_DATA_7        Frailty_Category                     24
MASTER_DATA_7        Feels_Exausted                        3
MASTER_DATA_7        Low_Physical_Activity                 3
MASTER_DATA_7        Slow_Walking_Speed                    3
MASTER_DATA_7        Unintended_Weight_Loss                3
MASTER_DATA_7        Week_Grip_Strength                    3
MASTER_DATA_8        PRECEDE_STUDY_ID                     12
MASTER_DATA_8        ENCRYPTED_MRN                        40
MASTER_DATA_8        ENCRYPTED_ENCOUNTER                  49
MASTER_DATA_8        rt_RM_START_to_INCISION_mins          4
MASTER_DATA_8        rt_INCISE_to_DRESS_mins               4
MASTER_DATA_8        rt_RM_START_to_RM_END_mins            4
MASTER_DATA_8        Age_at_Encounter                      4
MASTER_DATA_8        EmployeeStatus                       23
MASTER_DATA_8        Education                            19
MASTER_DATA_8        Race                                 16
MASTER_DATA_8        Ethnicity                            15
MASTER_DATA_8        Sex                                   6
MASTER_DATA_8        Marital_Status                       22
MASTER_DATA_8        Admit_BMI                            11
MASTER_DATA_8        Service                              32
MASTER_DATA_8        ASA__Anesth_Record_                   4
MASTER_DATA_8        Emergent                              4
MASTER_DATA_8        Base_Procedure_1                    198
MASTER_DATA_8        Base_Procedure_Code_1                10
MASTER_DATA_8        CPT_1                                 8
MASTER_DATA_8        CPT_1_Description                    75
MASTER_DATA_8        Intraop_Ketamine                      4
MASTER_DATA_8        Preop_block                           4
MASTER_DATA_8        Cognitive_Category                   22
MASTER_DATA_8        Cognitive_Score                       4
MASTER_DATA_8        Frailty_Category                     24
MASTER_DATA_8        Frailty_Score                         4
