Phase 3 Variable Inventory (all eight sources) -- Run:   26AUG2026:14:28:22
Source               Variable                          Type    Length
MASTER_DATA_2        SSDI_Death_Date_Y_N                 2         1
MASTER_DATA_2        Anesthesia_Type                     2        33
MASTER_DATA_2        Sleep_Apnea_YN                      2         1
MASTER_DATA_2        Diabetes_YN                         2         1
MASTER_DATA_2        Hyperlipidemia_YN                   2         1
MASTER_DATA_2        Hypertension_YN                     2         1
MASTER_DATA_2        MovementDisorder_YN                 2         1
MASTER_DATA_2        CognitiveDisorder_YN                2         1
MASTER_DATA_2        Latitude                            1         8
MASTER_DATA_2        Longitude                           1         8
MASTER_DATA_2        Propofol_mg_IntraOp_Total           1         8
MASTER_DATA_2        Ketamine_mg_IntraOp_Total           1         8
MASTER_DATA_2        fentaNYL_SUBLIMAZE_mg_IntraOp_To    1         8
MASTER_DATA_2        Sufentanil_mg_IntraOp_Total         1         8
MASTER_DATA_2        Hydromorphone_mg_IntraOp_Total      1         8
MASTER_DATA_2        Lidocaine_mg_IntraOp_Total          1         8
MASTER_DATA_2        Oral_Morphine_Equiv_IntraOp_Tota    1         8
MASTER_DATA_2        ISO_Exp_IntraOp_Total               1         8
MASTER_DATA_2        ISO_Exp_IntraOp_MAC_Average         1         8
MASTER_DATA_2        ISO_Exp_IntraOp_MAC_Minutes_Tota    1         8
MASTER_DATA_2        ISO_Exp_IntraOp_MAC_Total           1         8
MASTER_DATA_2        SEV_Exp_IntraOp_Total               1         8
MASTER_DATA_2        SEV_Exp_IntraOp_MAC_Average         1         8
MASTER_DATA_2        SEV_Exp_IntraOp_MAC_Minutes_Tota    1         8
MASTER_DATA_2        SEV_Exp_IntraOp_MAC_Total           1         8
MASTER_DATA_2        ISO_SEV_Exp_IntraOp_MAC_Average     1         8
MASTER_DATA_2        Propofol_mg_1_7_Total               1         8
MASTER_DATA_2        Ketamine_mg_1_7_Total               1         8
MASTER_DATA_2        fentaNYL_SUBLIMAZE_mg__1_7_Total    1         8
MASTER_DATA_2        Sufentanil_mg__1_7_Total            1         8
MASTER_DATA_2        Hydromorphone_mg__1_7_Total         1         8
MASTER_DATA_2        Lidocaine_mg_1_7_Total              1         8
MASTER_DATA_2        Oral_Morphine_Equiv_Given__1_7_T    1         8
MASTER_DATA_2        ORAL_MORPHINE_EQUIV_mg_POD_DAY1     1         8
